hour,total_viajes,media_viajes
0,1445,1.396135265700483
1,50,2.1739130434782608
2,6,1.2
3,12,1.0909090909090908
4,53,1.06
5,1105099,4.770101695500535
6,5602324,11.754647978934338
7,13604533,24.167490633776673
8,16839875,25.771150788367393
9,13706002,20.53382852622685
10,10601168,15.541613950726784
11,10847165,15.583775707379447
12,12768937,18.164864491917598
13,13461293,19.1422275942977
14,12363824,17.701143632708927
15,13816441,19.65597591736104
16,16385922,23.05411820321656
17,18721567,26.285512306964375
18,16047991,22.89325841093764
19,9956286,14.625251189846644
20,7611747,11.6920504624289
21,5012859,8.34190456379748
22,2529093,5.425061187892412
23,402908,2.907823325635104
30,28,3.5
45,60,6.666666666666667
