estacion,total_viajes,media_viajes
Constitucion,17666095,34.3822764658028
Retiro,7018302,29.354226441925636
San Pedrito,6511114,25.864644988043125
Rosas,5763678,23.594748606096335
Federico Lacroze,5734713,13.862980484491299
Congreso de Tucuman,4762289,15.683016146401064
Carlos Pellegrini,3782729,24.621050781707652
Leandro N. Alem,3751536,19.577793781507342
Plaza de Mayo,3574930,20.829162563872494
Malabia,3369858,22.68516112528526
Catedral,3333511,14.853100270906108
Medrano,3268101,24.323828875094897
Plaza Miserere,3173812,13.194474122914595
Hospitales,3152526,23.815296055116566
Once,3113300,17.881429917062974
Callao.B,3113049,23.839436684433007
Carlos Gardel,3108870,23.23190279407259
Acoyte,2929383,15.704031907878868
Primera Junta,2811634,16.07943543083284
Angel Gallardo,2790345,22.118210786645108
Palermo,2776955,29.118310124989513
Florida,2682522,17.48744760327777
Juramento,2654975,20.146719582340534
Congreso,2555368,18.81700429304644
Flores,2536663,16.557528246835897
Dorrego,2523801,14.452690050107373
Bulnes,2497079,24.254788639365916
Uruguay,2484312,16.658477053885147
Santa Fe,2475949,16.118934930503563
Pueyrredon,2459461,16.84793122345527
Facultad de Medicina,2447480,20.156808486106307
Patricios,2246892,21.389397127000297
Carabobo,2215079,12.571176427189094
Pza. de los Virreyes,2164205,16.928615567532052
Bolivar,2140552,14.446595127218735
Rio de Janeiro,2134620,18.612571607941614
Independencia.H,2127328,23.94668827952632
Callao,2114240,19.77015363611711
Plaza Italia,2087873,21.652369149719476
Las Heras,2086883,23.59339528783973
Peru,1924325,13.30957518916601
Ministro Carranza,1864581,18.174366922042225
Castro Barros,1861865,15.561317876754119
Los Incas,1773838,13.41316939642787
Olleros,1762476,14.376644669760916
Jose Hernandez,1755761,13.791117813857404
Tribunales,1725411,16.391273369813042
Cordoba,1681921,23.564567425569177
Loria,1652821,14.393258035582106
Correo Central,1507444,8.256302682097262
Lima,1491730,13.064607947031467
Caseros,1489126,16.52106285016919
Pasteur,1479185,17.419801210636646
Puan,1457809,16.551716699214314
Venezuela,1433560,16.061936987406444
Lavalle,1384001,13.436120226006253
Scalabrini Ortiz,1333171,18.360455027475176
Independencia,1332665,14.214790084478198
Facultad de Derecho,1308055,10.111117123245316
Humberto I,1302762,17.85975542882211
Avenida La Plata,1228397,17.289190710767066
Inclan,1225244,16.12014682858158
Pueyrredon.D,1222755,13.296018007046236
Echeverria,1203649,12.48728083826123
Piedras,1167039,12.981379517469216
Retiro E,1161476,6.115413371523646
Boedo,1156629,16.492171904408828
Saenz Peña,1138115,13.956210376583405
Tronador,1112920,16.770440914981464
Corrientes,1090036,9.938964011196921
Diagonal Norte,1083728,11.187447094043565
General San Martin,1046481,10.372083572858644
Mariano Moreno,1037222,8.793370353100759
Emilio Mitre,1032320,21.912039395483102
Agüero,1030164,20.105468597525274
Jose Maria Moreno,1010359,21.648539778449145
Alberti,1009790,14.650137101571227
Catalinas,1005502,7.65437756445879
San Juan,955791,13.66899776900635
Avenida de Mayo,955637,8.560524217749233
Entre Rios,921737,12.828450543485825
General Belgrano,851346,18.289243592773207
Urquiza,803657,13.829688010875739
9 de julio,757528,11.368149348700403
San Jose,667690,14.377476313522825
Jujuy,656605,10.535685632681878
Pasco,591013,9.358282927447192
Pichincha,564792,9.520463893196682
Varela,550418,12.951011764705882
Medalla Milagrosa,472281,8.324038986904489
Ag�ero,463935,23.165476606581116
Saenz Pe�a,432961,14.39795816567457
Retiro.C,34213,17.218419728233517
Pueyrredon.B,20632,10.962805526036131
Independencia.E,16316,8.678723404255319
Callao.D,16080,13.223684210526315
Independencia.C,14432,7.615831134564644
Retiro.E,13279,7.715862870424172
