weekday,hour,total_viajes,avg_viajes
lun\.,0,1,1
lun\.,1,1,1
lun\.,3,2,1
lun\.,4,4,1
lun\.,5,215221,4.957752643339246
lun\.,6,1062490,13.13191363136363
lun\.,7,2563082,27.462867918867662
lun\.,8,3043273,30.4354691922273
lun\.,9,2363744,23.425207618972113
lun\.,10,1729254,16.794254469878698
lun\.,11,1738269,16.597622457748496
lun\.,12,2054515,19.470015731316693
lun\.,13,2174357,20.56713015512675
lun\.,14,1976531,18.790996815135237
lun\.,15,2241980,21.198551450912905
lun\.,16,2730134,25.612454734788074
lun\.,17,3242798,30.305390452693356
lun\.,18,2693802,25.589212603661025
lun\.,19,1453635,14.302504058641217
lun\.,20,1079731,11.136758395907254
lun\.,21,726764,8.12971497606157
lun\.,22,371575,5.178817823244923
lun\.,23,44079,2.400424767194903
lun\.,30,5,5
lun\.,45,9,9
mar\.,0,2,1
mar\.,1,5,1
mar\.,2,1,1
mar\.,4,6,1
mar\.,5,217616,4.872290883037794
mar\.,6,1088619,12.960058572823163
mar\.,7,2705744,28.047808104157813
mar\.,8,3302793,32.41655379541841
mar\.,9,2557608,24.85479388155721
mar\.,10,1857721,17.77859549056387
mar\.,11,1839743,17.335459736539587
mar\.,12,2176820,20.401503294313912
mar\.,13,2301592,21.549074498862435
mar\.,14,2106577,19.796981458335292
mar\.,15,2386913,22.357955769536996
mar\.,16,2922954,27.12441421293418
mar\.,17,3480946,32.280298604349234
mar\.,18,2924969,27.6169744693708
mar\.,19,1600042,15.625257565844084
mar\.,20,1185883,12.138004094165813
mar\.,21,761323,8.587770157469656
mar\.,22,392077,5.428850334390274
mar\.,23,50398,2.5930232558139537
mié\.,0,1,1
mié\.,1,2,1
mié\.,2,2,1
mié\.,3,6,1.2
mié\.,4,28,1.12
mié\.,5,216715,4.827905008019961
mié\.,6,1057130,12.764187394349191
mié\.,7,2627767,27.79646906998392
mié\.,8,3183688,32.49523342927716
mié\.,9,2502020,25.33665481868538
mié\.,10,1808226,18.151052488933058
mié\.,11,1801556,17.810032228087866
mié\.,12,2157457,21.16253543507901
mié\.,13,2259552,22.102631321529884
mié\.,14,2075678,20.43130924374711
mié\.,15,2359652,23.080667090526727
mié\.,16,2876622,27.720064756104613
mié\.,17,3353834,32.46127489885596
mié\.,18,2794466,27.72315201539698
mié\.,19,1550576,16.01867807186099
